,workflow,N,T,time,seed
0,synthetic_data,100,10,48.584434270858765,1
0,synthetic_data,100,10,45.24664664268494,2
0,synthetic_data,100,10,38.42321538925171,3
0,synthetic_data,100,10,38.70494627952576,4
0,synthetic_data,100,10,37.76680302619934,5
0,synthetic_data,100,10,38.39118051528931,6
0,synthetic_data,100,10,38.57018995285034,7
0,synthetic_data,100,10,38.55976152420044,8
0,synthetic_data,100,10,40.76414179801941,9
0,synthetic_data,100,10,41.10170245170593,10
0,synthetic_data,200,10,43.896403789520264,1
0,synthetic_data,200,10,46.462881088256836,2
0,synthetic_data,200,10,59.329530000686646,3
0,synthetic_data,200,10,59.180458784103394,4
0,synthetic_data,200,10,47.82342743873596,5
0,synthetic_data,200,10,51.217029333114624,6
0,synthetic_data,200,10,48.36732053756714,7
0,synthetic_data,200,10,48.02942657470703,8
0,synthetic_data,200,10,51.424487352371216,9
0,synthetic_data,200,10,50.007723569869995,10
0,synthetic_data,500,10,61.43513083457947,1
0,synthetic_data,500,10,60.79875421524048,2
0,synthetic_data,500,10,61.065062046051025,3
0,synthetic_data,500,10,76.2099220752716,4
0,synthetic_data,500,10,61.726258754730225,5
0,synthetic_data,500,10,60.81461477279663,6
0,synthetic_data,500,10,61.10961890220642,7
0,synthetic_data,500,10,293.66748118400574,8
0,synthetic_data,500,10,61.52632737159729,9
0,synthetic_data,500,10,59.663379430770874,10
0,synthetic_data,1000,10,115.89575552940369,1
0,synthetic_data,1000,10,86.28096795082092,2
0,synthetic_data,1000,10,90.76419687271118,3
0,synthetic_data,1000,10,79.61451816558838,4
0,synthetic_data,1000,10,78.38238430023193,5
0,synthetic_data,1000,10,78.74799156188965,6
0,synthetic_data,1000,10,82.28011322021484,7
0,synthetic_data,1000,10,80.3647050857544,8
0,synthetic_data,1000,10,78.91589617729187,9
0,synthetic_data,1000,10,77.88218331336975,10
