,ID,timestamp,z1,action,reward,state1
0,1.0,1.0,0.0,,,1.3243453636632416
1,1.0,2.0,0.0,1.0,1.5243453636632416,-0.8137221421402459
2,1.0,3.0,0.0,1.0,-0.6137221421402459,-0.5266834263575257
3,1.0,4.0,0.0,1.0,-0.3266834263575257,-0.4644472041213395
4,1.0,5.0,0.0,1.0,-0.2644472041213395,-2.0755179250857614
5,1.0,6.0,0.0,0.0,-0.9226553775257285,-1.5292941874586663
6,1.0,7.0,0.0,0.0,-0.7587882562375998,-0.6770285273337254
7,1.0,8.0,0.0,1.0,-0.4770285273337254,1.3361142124384227
8,1.0,9.0,0.0,0.0,0.10083426373152682,0.0029705851371655823
9,1.0,10.0,0.0,0.0,-0.29910882445885034,0.3687900301570149
10,1.0,11.0,0.0,1.0,0.5687900301570149,0.028639046728423573
11,2.0,1.0,1.0,,,0.08824358634992457
12,2.0,2.0,1.0,1.0,-0.1941076963800905,-0.4350023528760343
13,2.0,3.0,1.0,0.0,-0.017501176438017144,-1.1810277729560639
14,2.0,4.0,1.0,0.0,-0.3905138864780319,0.7194899707286193
15,2.0,5.0,1.0,1.0,0.5633879648743432,0.8186170553950906
16,2.0,6.0,1.0,0.0,0.6093085276975453,0.9329597556642185
17,2.0,7.0,1.0,1.0,0.8195517067970621,1.7469657830994596
18,2.0,8.0,1.0,1.0,1.7963589397193516,0.7777883397118084
19,2.0,9.0,1.0,1.0,0.6333460076541699,0.5389959292049047
20,2.0,10.0,1.0,0.0,0.4694979646024523,1.6516522862916623
21,2.0,11.0,1.0,1.0,1.6819827435499946,0.06518514258351082
22,3.0,1.0,0.0,,,-0.8281717522634557
23,3.0,2.0,0.0,0.0,-0.5484515256790368,-0.1718502450716502
24,3.0,3.0,0.0,1.0,0.0281497549283498,-0.45911206055829773
25,3.0,4.0,0.0,0.0,-0.4377336181674893,-0.5765213569683083
26,3.0,5.0,0.0,0.0,-0.47295640709049247,-0.6197446893008731
27,3.0,6.0,0.0,0.0,-0.4859234067902619,-0.6724315267598446
28,3.0,7.0,0.0,1.0,-0.47243152675984457,-1.5066697454041873
29,3.0,8.0,0.0,1.0,-1.3066697454041871,-1.0284886246589544
30,3.0,9.0,0.0,0.0,-0.6085465873976863,-1.3751014127919796
31,3.0,10.0,0.0,1.0,-1.1751014127919794,-1.1701887010653897
32,3.0,11.0,0.0,0.0,-0.6510566103196169,-1.0367987842923523
33,4.0,1.0,0.0,,,-1.3729686221561705
