,ID,timestamp,z1,z2,action,reward,state1,state2,state3
0,1.0,1.0,1.0,1.0,,,4.124345363663242,1.8882435863499247,1.9718282477365443
1,1.0,2.0,1.0,1.0,1.0,3.789688360270838,4.6822753570371205,3.5105200325820265,3.0118579721710854
2,1.0,3.0,1.0,1.0,0.0,4.336946386737105,2.471131911559777,1.2726975913515592,1.5408640222875836
3,1.0,4.0,1.0,1.0,0.0,1.2954949572002254,1.4560003948941305,1.3864279407824338,1.1600230689627842
4,1.0,5.0,1.0,1.0,1.0,1.9120481503910125,2.1544217721661605,1.4314726727173939,1.2640203022088992
5,1.0,6.0,1.0,1.0,1.0,3.1826269712491007,3.725988512227513,2.0233850923100896,1.126072190138172
6,1.0,7.0,1.0,1.0,0.0,1.7177055456464418,0.8301144292911732,1.5156670865798392,-0.5552839656235656
7,1.0,8.0,1.0,1.0,1.0,1.0328361791429228,0.7375908035438234,1.040873240285573,0.3232735439028894
8,1.0,9.0,1.0,1.0,0.0,0.6287238002168812,0.5838094235944172,-0.2708872639709138,-1.6343842531312933
9,1.0,10.0,1.0,1.0,0.0,0.5706991018195249,-2.085414281046047,1.0899205404775418,-0.12434202945026762
10,1.0,11.0,1.0,1.0,1.0,-1.5070360478740588,-0.6084989084843521,2.2470862103477502,0.6882117196104545
11,2.0,1.0,1.0,0.0,,,0.4270313778438295,2.3654076293246784,-0.8015386968802827
12,2.0,2.0,1.0,0.0,0.0,-0.85814382333822,-1.4335166234664642,1.0822557400877433,-1.3592924772376556
13,2.0,3.0,1.0,0.0,0.0,0.3741934196239868,0.16875792957845825,-0.6910953918795618,1.3848602213358165
14,2.0,4.0,1.0,0.0,0.0,-1.2320387488779925,1.8463097410840623,-1.5202154844129965,-1.5718117559740448
15,2.0,5.0,1.0,0.0,0.0,-0.625913149461136,0.07458771594435869,-0.7686856318728046,-1.0546252027697889
16,2.0,6.0,1.0,0.0,1.0,-1.2031794397270505,0.5131041185966081,-1.0782831263290626,-1.660806753024449
17,2.0,7.0,1.0,0.0,0.0,-1.3353938317847658,0.25418800872439623,-0.750469836220144,-1.3664673692773248
18,2.0,8.0,1.0,0.0,0.0,0.6305022133512351,-0.8696271804038409,-0.9247497165283978,-2.1019483020725267
19,2.0,9.0,1.0,0.0,0.0,-0.7231315844667805,-1.1458194197077,-0.45990675351097476,-1.4533203183114303
20,2.0,10.0,1.0,0.0,0.0,-1.0107164892020457,-0.957112461630674,0.2529353086175474,-1.5862250940235776
21,2.0,11.0,1.0,0.0,0.0,-1.1480075609564206,-1.3415114215473547,-0.05434051924841976,-0.2958153572922154
22,3.0,1.0,0.0,0.0,,,2.2448117642164798,-0.2612069008951028,0.8190390960570986
23,3.0,2.0,0.0,0.0,0.0,-0.982398168442147,1.2973243189980121,-0.4759575644720367,0.3219365535278258
24,3.0,3.0,0.0,0.0,0.0,-2.5014169570596607,-0.4769007815532697,-0.36395214980014334,0.16843429448295022
25,3.0,4.0,0.0,0.0,1.0,0.5384711562196789,-0.6030636183406017,-0.34849904681056376,-0.9326867540405785
26,3.0,5.0,0.0,0.0,1.0,0.20270538238060498,1.2196531345095079,-1.2732196302819199,-0.06632715916322685
27,3.0,6.0,0.0,0.0,0.0,-0.3640689401786455,-1.9272975244388073,-1.631678872049393,1.0382084583526625
28,3.0,7.0,0.0,0.0,0.0,-1.0729602984907598,-0.5467899620623259,-2.971968901747774,0.11186274417999986
29,3.0,8.0,0.0,0.0,0.0,-2.8022528001791582,-2.4950246842896897,-2.8285350932580102,-1.5561438163146664
30,3.0,9.0,0.0,0.0,1.0,-1.7534802039461836,-2.319608267920099,-2.2085266991801644,0.66094808078874
31,3.0,10.0,0.0,0.0,1.0,0.3739730554856522,-1.9742642292612427,-2.84841652894725,-1.7470638660830378
32,3.0,11.0,0.0,0.0,0.0,-0.32077755837740096,-2.4011606996791217,-2.032959815040691,-2.04183904523361
33,4.0,1.0,0.0,1.0,,,1.2506296245225899,2.962107937044974,-0.560140709497654
34,4.0,2.0,0.0,1.0,0.0,-0.7540679045968403,-0.08333901750092869,0.504399865725663,-0.2652716155623722
35,4.0,3.0,0.0,1.0,0.0,0.7070399213154719,-0.19161001704185848,-0.9432124803415608,-0.7581479030958157
36,4.0,4.0,0.0,1.0,1.0,-0.7939128669967159,-0.4199233829068901,0.7027486206181437,0.013289635013437273
37,4.0,5.0,0.0,1.0,0.0,-0.2559994344644827,0.04396117238263664,0.4657790792013789,-0.8128066263796117
38,4.0,6.0,0.0,1.0,0.0,0.5405578996474294,0.6435870274315579,-1.6087156256480202,-2.9056309184391624
39,4.0,7.0,0.0,1.0,1.0,-1.7227067760337935,0.19873248382594028,-1.629783263241275,0.4812075605124688
40,4.0,8.0,0.0,1.0,1.0,0.39913313272806616,0.36311822686379736,-2.744036555274323,-0.46058471681825597
41,4.0,9.0,0.0,1.0,1.0,-0.2055151895770525,-2.3700967732784077,-2.8406256133763748,-0.3593307614415573
42,4.0,10.0,0.0,1.0,1.0,-2.8294290473281802,-2.0683591998959217,-1.3393319081306503,-0.7922380101512684
43,4.0,11.0,0.0,1.0,1.0,-2.1574115926700737,-1.4346748588936582,-0.6313643237710199,-0.4822562875202412
44,5.0,1.0,1.0,0.0,,,1.1775827959864924,1.1159456453315844,2.6337694423354376
45,5.0,2.0,1.0,0.0,0.0,1.836701357154799,-0.118647333466036,1.4694948808076125,-0.7203769960941606
46,5.0,3.0,1.0,0.0,1.0,-0.7756161358212985,0.5092277138982276,1.3340496425170243,-3.288183138418241
47,5.0,4.0,1.0,0.0,0.0,0.7074199501018233,-0.35772255278229365,0.8797139862648742,-2.1943846135436837
